X,Y,Z,SAMPLE_ID,SAMPLE_FIE,SAMPLE_DAT,LAT_DEG,LONG_DEG,YEAR_CONST,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE,As,Al,B_,Ba,Ca,Co,Cr,Cu,Fe,K_,Li,Mg,Mn,Na,P_,Si,SO4,Sr,V_,Zn
332568.669021396,2672594.39634457,0,S98_02966,RIP0475,31/05/1998,24.157000000000000,91.352000000000004,"1995",STW,62.000000000000000,Sylhet,Habiganj,Madhabpur,Jagadishpur,Jagadishpur,6367169462,< 0.5,< 0.04,< 0.01,"0.017","11.6",< 0.008,< 0.02,< 0.008,"5.94","1.5","0.004","3.7","0.566",13.000000000000000,< 0.2,"34.7","2.5","0.0976",< 0.006,"0.019"
329069.417802972,2677398.90104011,0,S98_02967,RIP0476,31/05/1998,24.199999999999999,91.316999999999993,"1988",STW,44.000000000000000,Sylhet,Habiganj,Madhabpur,Chhatain,Chhatain,6367143236,< 0.5,< 0.04,< 0.01,"0.025","15.2",< 0.008,< 0.02,< 0.008,"4.02","1.7","0.004","6.43","0.441",16.199999999999999,< 0.2,"34.4","1.7","0.107",< 0.006,"0.01"
333759.049874944,2678783.101817,0,S98_02968,RIP0477,31/05/1998,24.213000000000001,91.363000000000000,"1994",STW,41.000000000000000,Sylhet,Habiganj,Madhabpur,Bagusura,Sahapur,6367117835,< 0.5,"0.04",< 0.01,"0.045","7.51",< 0.008,< 0.02,< 0.008,"0.29","2.4",< 0.003,"1.8","0.023",11.199999999999999,< 0.2,"26","1.1","0.0601",< 0.006,< 0.008
342466.210363948,2694411.4765559,0,S98_02969,RIP0479,01/06/1998,24.355000000000000,91.447000000000003,"1993",STW,44.000000000000000,Sylhet,Habiganj,Habiganj Sadar,Poil,Poil,6364457721,"17.3","0.12","0.02","0.076","12.3",< 0.008,< 0.02,< 0.008,"3.66","1.4",< 0.003,"5.42","0.257",46.100000000000001,"2","19.5",< 0.2,"0.092",< 0.006,"0.01"
340884.430870539,2689112.75130741,0,S98_02970,RIP0480,01/06/1998,24.306999999999999,91.432000000000002,"1994",STW,56.000000000000000,Sylhet,Habiganj,Habiganj Sadar,Nizapur,Nizampur,6364438690,"8.1",< 0.04,"0.02","0.061","10.6",< 0.008,< 0.02,< 0.008,"9.15","1.2",< 0.003,"4.32","0.52",21.199999999999999,"0.9","23.4",< 0.2,"0.0883",< 0.006,"0.01"
333941.149085801,2685648.26155976,0,S98_02971,RIP0481,01/06/1998,24.274999999999999,91.364000000000004,"1996",STW,51.000000000000000,Sylhet,Habiganj,Habiganj Sadar,Nurpur,Ulahar,6364447976,< 0.5,"0.08",< 0.01,"0.01","13.4",< 0.008,< 0.02,< 0.008,"0.174","2","0.007","4.55","0.605",15.199999999999999,< 0.2,"34.2","4.8","0.125",< 0.006,"0.008"
342706.377374699,2688649.30348155,0,S98_02972,RIP0482,01/06/1998,24.303000000000001,91.450000000000003,"1997",STW,35.000000000000000,Sylhet,Habiganj,Habiganj Sadar,Shaistagonj,Jagatpur,6364485479,"18.7","0.15","0.02","0.085","9.73",< 0.008,< 0.02,< 0.008,"18.1","1.3",< 0.003,"3.22","0.468",33.799999999999997,"1.3","20.9",< 0.2,"0.0638",< 0.006,"0.026"
334547.429763678,2694059.18253229,0,S98_02973,RIP0483,01/06/1998,24.350999999999999,91.369000000000000,"1997",STW,45.000000000000000,Sylhet,Habiganj,Habiganj Sadar,Lukhra,Lukhra,6364428578,< 0.5,< 0.04,"0.02","0.048","19.4",< 0.008,< 0.02,< 0.008,"0.914","3.8","0.011","7.98","0.084",40.299999999999997,< 0.2,"29.3","0.8","0.153",< 0.006,"0.037"
339052.174624403,2697551.39567749,0,S98_02974,RIP0484,01/06/1998,24.382999999999999,91.412999999999997,"1988",DTW,139.000000000000000,Sylhet,Habiganj,Habiganj Sadar,Ward-02,Kalibari road,6364402507,"2",< 0.04,"0.01","0.104","16.6",< 0.008,< 0.02,< 0.008,"2.73","3.2","0.005","7.36","0.156",32.700000000000003,"0.3","25.2",< 0.2,"0.128",< 0.006,"0.014"
339147.279279038,2696996.49785034,0,S98_02975,RIP0485,01/06/1998,24.378000000000000,91.414000000000001,"1980",STW,46.000000000000000,Sylhet,Habiganj,Habiganj Sadar,Ward-03,Master quarter,6364403568,"1.8",< 0.04,"0.01","0.089","16.2",< 0.008,< 0.02,< 0.008,"4.26","2.8","0.007","7.22","0.221",23.600000000000001,"0.6","28.1",< 0.2,"0.124",< 0.006,"0.01"
349424.090405351,2718702.18069013,0,S98_02976,RIP0487,02/06/1998,24.574999999999999,91.513000000000005,"1983",STW,66.000000000000000,Sylhet,Habiganj,Nabiganj,Nabiganj,Gandha,6367780373,"10.7","0.34","0.03","0.149","22.8",< 0.008,< 0.02,< 0.008,"23.3","1.5",< 0.003,"10.1","0.927",48.799999999999997,"1.8","28.3",< 0.2,"0.174",< 0.006,"0.017"
352322.057423308,2724541.40880763,0,S98_02977,RIP0488,02/06/1998,24.628000000000000,91.540999999999997,"1988",STW,54.000000000000000,Sylhet,Habiganj,Nabiganj,Kargaon,Madhabpur,6367765619,"25.6","0.17","0.01","0.098","10.8",< 0.008,< 0.02,< 0.008,"14.2","2.1","0.003","5.28","0.288",58.700000000000003,"1.5","15.9",< 0.2,"0.0909",< 0.006,"0.018"
361212.781087203,2722677.80743546,0,S98_02978,RIP0489,02/06/1998,24.611999999999998,91.629000000000005,"1996",STW,49.000000000000000,Sylhet,Habiganj,Nabiganj,Aushkandi,Jalalpur,6367707486,"4.4","0.04","0.02","0.071","10.4",< 0.008,< 0.02,< 0.008,"15.9","1.7","0.004","3.86","0.501",56.600000000000001,"1.1","22.1",< 0.2,"0.0859",< 0.006,"0.019"
358535.487519962,2718274.52573304,0,S98_02979,RIP0490,02/06/1998,24.571999999999999,91.602999999999994,"1995",STW,38.000000000000000,Sylhet,Habiganj,Nabiganj,Debpara,Fatarchar,6367721334,"0.5",< 0.04,"0.02","0.075","14.7",< 0.008,< 0.02,< 0.008,"1.37","2.6",< 0.003,"6.59","0.146",60.399999999999999,"0.3","20.8",< 0.2,"0.159",< 0.006,< 0.008
